epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,3656.37,1.20758,0.8165,1.19467,0.67377,0.58941,0.5942,0.36133,1.35097,1.2099,1.42489,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,3775.16,1.19818,0.8011,1.18766,0.72292,0.55679,0.60307,0.36419,1.33542,1.18336,1.41938,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,3895.68,1.20022,0.80611,1.19103,0.76253,0.55938,0.62609,0.38134,1.31194,1.13468,1.39671,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,4014.64,1.18845,0.786,1.17737,0.68277,0.58867,0.62413,0.38449,1.30935,1.12377,1.40102,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,4133.49,1.18668,0.78736,1.18013,0.75673,0.58892,0.64174,0.39794,1.28966,1.07766,1.38331,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,4252.59,1.17398,0.77058,1.1694,0.78046,0.56611,0.64241,0.40341,1.27591,1.05166,1.36502,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,4371.36,1.16285,0.76032,1.16427,0.7429,0.60287,0.64521,0.40165,1.26857,1.05546,1.36323,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,4490.11,1.16698,0.76147,1.16394,0.76655,0.6034,0.6599,0.41372,1.24359,1.01182,1.34551,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,4609.4,1.15922,0.74963,1.16167,0.80262,0.61181,0.67166,0.42175,1.23677,1.00958,1.33465,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,4728.46,1.15748,0.74611,1.15587,0.79787,0.61135,0.66967,0.42756,1.21991,0.9869,1.32447,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,4848.22,1.14988,0.73722,1.15284,0.78086,0.61479,0.66991,0.42756,1.20823,0.95522,1.3132,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,4966.94,1.14251,0.73253,1.14933,0.76171,0.64945,0.68238,0.43812,1.19211,0.93546,1.30509,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,5085.71,1.14113,0.7204,1.14254,0.8009,0.64873,0.68353,0.44286,1.17584,0.91461,1.29716,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,5204.55,1.12868,0.71799,1.14203,0.78115,0.64026,0.68355,0.44889,1.15289,0.88795,1.28535,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,5323.67,1.12451,0.70918,1.14059,0.82028,0.63197,0.68589,0.45036,1.14152,0.87978,1.27038,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,5442.37,1.11798,0.70277,1.13637,0.79416,0.63848,0.68816,0.45149,1.13293,0.86331,1.25997,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,5561.04,1.11194,0.69617,1.13197,0.78231,0.65543,0.6904,0.45112,1.12831,0.85819,1.25923,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,5680.64,1.10028,0.68526,1.12185,0.7996,0.65625,0.69476,0.45341,1.10983,0.83741,1.24701,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,5799.45,1.10938,0.69559,1.12933,0.81878,0.66799,0.70244,0.45853,1.10964,0.82594,1.24389,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,5918.13,1.1001,0.68464,1.12501,0.79279,0.67083,0.70169,0.46356,1.09355,0.81416,1.23254,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,6037.29,1.09145,0.67553,1.11607,0.80393,0.66069,0.69943,0.46151,1.08203,0.80391,1.22641,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,6155.96,1.08369,0.67314,1.11882,0.81148,0.66506,0.70746,0.47239,1.06875,0.78871,1.21863,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,6276.04,1.07828,0.66518,1.11282,0.80213,0.67153,0.70418,0.47429,1.05441,0.7724,1.20637,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
